Code,Description,ViolationGroup
907.2.10,Smoke Detectors,safety
Section 11.2(c),Signage,rules
3306.8,Repair,neg
5313.2.7,Fire Warning Systems,safety
915,Carbon Monoxide Protection,safety
108.7,Unsafe Mechanical Equipment,safety
110.16,Arc-Flash Hazard Warning,safety
314.72,Boxes Construct & Install,safety
1028.1,Fire Escape Affidavit,rules
5103,Maintenance,maint
Art. 215.3,Overcurrent Protection,safety
907.2.112,Fire Alarm & Detection,safety
110.3.8,Other Inspections,rules
1001.3.1,Obstructions,safety
Art. 665 Sec. 19-1,Side Yard Requirements,rules
5311.2.1,Attachment,rules
250.24 D,Grounding electrode conduction,safety
33.02,Construction Safeguards,safety
400.7,Excessive Use of Ext. Cords,safety
5112.1,Unsafe & Dangerous,safety
121.3,Removal/Making Structure Safe,safety
111.11,Use & Occupancy,rules
103.2,Unsafe Maintanence,safety
103,Maintenance,maint
107.2.4,Exterior Wall Envelope,rules
314.41,Covers,rules
110 R5.2.7,False Statements,rules
110 R5.2.12,On-Site Presence of Supervisor,rules
118.4,Violation penalties,rules
1018.1,Egress,safety
121.5,Rem Dangerous/Abandoned Struct,safety
352.3,Securing and Supporting,safety
108.3.5.3,Licensed Supervisor,neg
708.4,Fire Partitions,safety
1028.3,Testing & Certification,rules
5120.1,Building Illegally Occupied,rules
102.5.5,Hazardous Means of Egress,safety
1203,Ventilation,neg
110.26(B),Electrical Rm Used for Storage,safety
5117.1,Workmanship,neg
118.1,Unlawful Acts,rules
240.24(A),Elevated Electrical Room,neg
1023.6,Access to a Publicway,rules
120,Certificate of Occupancy,rules
907.16,Acceptance Tests,rules
119,Stop Work Order,rules
5311.4.4,Door Locks,safety
119.2,Unlawful Continuance,rules
32,Abusive Language In Solicitati,rules
Article 8-7,Outdoor Sale & Display,rules
710.6,Penetrations & Joints,safety
121.4,Remove/Making Safe Structure,safety
Art. 67-11,Outdoor Sale & Display,rules
820.2,Abandoned Cable,neg
5313.4,Carbon Monoxide Detectors,safety
5313.2.9,Smoke Detectors,safety
123,Unsafe and Dangerous,safety
Art. 15 Adopts Chp. 143.S 3L,Guarding of live parts,safety
110.26E,Spaces About Elect. Equip.,safety
123.1,Unsafe and Dangerous,safety
5110,Application for permit,rules
120.2,Buildings hereafter altered,rules
230.26,Point of Attachment,rules
6106.2.2,Basements,rules
Art. 110.11,Deteriorating Agents,neg
11,Illegal dumping solid waste,trash
5102.5.1,Emergency Escape & Rescue,safety
230.9,Clearance on Buildings,rules
5311.6.2,Landings Required,rules
5117,Workmanship,neg
5110.6,Permit Secured by Owner,rules
5116.1,Services During Construction,rules
5310,Emergency Escape and Rescue Op,safety
113,Compliance with Permit,rules
3603.6.8.2,Fences,rules
1023.1,Exit Signs & Lights,safety
31,Use of propelled novelty,safety
36,Illegal Dumping (vehicle),trash
